id,yob,position_long,group,time,height,weight,cmj,10m,30m,5rm
0,2007,forward,1,0,182,103.7,19.8,2.2,5.41,55
1,2007,back,1,0,176,70.7,28.36,1.89,4.67,70
2,2007,back,1,0,173,74.3,26.64,1.96,4.63,70
3,2007,back,1,0,168,57.8,33.91,1.9,4.71,55
4,2007,forward,1,0,174,73.3,29.27,2,4.74,85
5,2007,forward,1,0,173,82.2,35.89,1.85,4.41,80
6,2007,back,1,0,182,67.6,35.1,1.93,4.54,62
7,2006,back,1,0,177,75.6,33.99,1.95,4.65,90
8,2007,forward,1,0,182,76.9,40.23,1.83,4.45,90
9,2007,forward,1,0,170,78.2,27.08,2,4.74,80
10,2007,back,1,0,176,67.9,39,1.84,4.37,67
11,2007,forward,1,0,180,85.4,30.03,1.91,4.47,82
12,2007,back,1,0,169,64.3,30,1.93,4.48,65
13,2006,forward,1,0,171,67.2,41.5,1.94,4.62,77
14,2006,back,1,0,175,65.1,34.68,1.85,4.38,60
15,2007,forward,1,0,178,72.1,36.84,1.93,4.45,75
16,2007,back,1,0,161,57.6,31.93,2.06,4.82,55
0,2007,forward,1,1,183,102.8,21.24,2.36,5.71,70
1,2007,back,1,1,177,72.8,28.97,1.99,4.85,90
2,2007,back,1,1,174,73.4,25.52,2.12,4.81,90
3,2007,back,1,1,171,61.8,37.42,1.93,4.73,70
4,2007,forward,1,1,175,77.6,29.34,2.16,5.06,102
5,2007,forward,1,1,174,82.7,43.73,1.82,4.41,110
6,2007,back,1,1,184,69.2,37.12,2,4.7,77
7,2006,back,1,1,179,77.8,31.62,2.01,4.75,102
8,2007,forward,1,1,183,77.8,42.54,1.98,4.51,112
9,2007,forward,1,1,171,75.9,25.02,2.03,4.93,102
10,2007,back,1,1,176,69.4,38.18,1.89,4.36,95
11,2007,forward,1,1,181,82,32.38,1.93,4.6,95
12,2007,back,1,1,170,66,29.88,1.94,4.51,90
13,2006,forward,1,1,173,65.5,37.78,1.96,4.72,85
14,2006,back,1,1,176,65.4,32.94,1.92,4.63,75
15,2007,forward,1,1,179,74.2,36.03,1.88,4.48,85
16,2007,back,1,1,164,59.3,30.65,1.95,4.7,75
17,2006,back,0,0,177,68.1,44.17,1.84,4.27,95
18,2007,back,0,0,173,59.9,44.02,1.82,4.26,65
19,2006,forward,0,0,174,58.3,30.72,1.93,4.54,47
20,2006,back,0,0,166,57.1,31.3,1.91,4.63,60
21,2006,back,0,0,181,69.6,38.61,1.79,4.29,72
22,2006,back,0,0,178,68.5,34.94,1.86,4.39,75
23,2007,forward,0,0,168,74.4,28.48,2.06,4.76,75
24,2007,back,0,0,180,68.9,34.37,1.86,4.6,70
25,2007,forward,0,0,180,79.1,30.22,1.98,4.71,60
26,2006,back,0,0,189,82.2,49.11,1.79,4.24,95
27,2006,forward,0,0,173,72.7,26.15,2.14,5.45,40
28,2007,back,0,0,178,73.3,38.31,1.99,4.63,65
29,2007,forward,0,0,178,64.2,33.86,1.96,4.87,65
17,2006,back,0,1,178,68.3,48.99,1.9,4.36,110
18,2007,back,0,1,175,62.6,41.47,1.73,4.34,75
19,2006,forward,0,1,174,58.6,32.02,1.98,4.74,55
20,2006,back,0,1,168,58.4,31.27,2.03,4.78,72
21,2006,back,0,1,182,72,36.05,1.94,4.45,85
22,2006,back,0,1,178,70.6,38.48,1.88,4.51,85
23,2007,forward,0,1,169,74.8,28.35,2.15,5.04,85
24,2007,back,0,1,182,71.1,34.01,2.05,4.95,75
25,2007,forward,0,1,182,80.2,30.01,1.96,4.68,80
26,2006,back,0,1,190,85.7,49.08,1.94,4.43,105
27,2006,forward,0,1,173,73.2,23.55,2.32,5.87,50
28,2007,back,0,1,179,74.1,37.77,2.11,4.86,80
29,2007,forward,0,1,180,64.8,32.06,2.09,5.09,72
